Date,Dataset,Predicted Price,Trend
2020-12-03,processed_ds1,34457.375,Decrease
2020-12-04,processed_ds1,33025.242,Decrease
2020-12-05,processed_ds1,34970.094,Increase
2020-12-06,processed_ds1,34432.223,Decrease
2020-12-07,processed_ds1,33728.082,Decrease
2020-12-08,processed_ds1,32916.832,Decrease
2020-12-09,processed_ds1,34401.58,Increase
2020-12-10,processed_ds1,33469.793,Decrease
2020-12-11,processed_ds1,33545.28,Increase
2020-12-12,processed_ds1,35707.207,Increase
2020-12-13,processed_ds1,34718.43,Decrease
2020-12-14,processed_ds1,34129.797,Decrease
2020-12-15,processed_ds1,34299.79,Increase
2020-12-16,processed_ds1,39072.78,Increase
2020-12-17,processed_ds1,38133.883,Decrease
2020-12-18,processed_ds1,35350.637,Decrease
2020-12-19,processed_ds1,36383.965,Increase
2020-12-20,processed_ds1,34410.566,Decrease
2020-12-21,processed_ds1,34035.887,Decrease
2020-12-22,processed_ds1,37116.0,Increase
2020-12-23,processed_ds1,34178.36,Decrease
2020-12-24,processed_ds1,35829.176,Increase
2020-12-25,processed_ds1,36969.06,Increase
2020-12-26,processed_ds1,39358.016,Increase
2020-12-27,processed_ds1,35681.363,Decrease
2020-12-28,processed_ds1,37117.914,Increase
2020-12-29,processed_ds1,36370.19,Decrease
2020-12-30,processed_ds1,39157.117,Increase
2020-12-31,processed_ds1,36333.324,Decrease
2021-01-01,processed_ds1,36875.4,Increase
2021-01-02,processed_ds1,42810.65,Increase
2021-01-03,processed_ds1,39233.37,Decrease
2021-01-04,processed_ds1,36598.867,Decrease
2021-01-05,processed_ds1,41646.93,Increase
2021-01-06,processed_ds1,43631.848,Increase
2021-01-07,processed_ds1,44209.887,Increase
2021-01-08,processed_ds1,42655.2,Decrease
2021-01-09,processed_ds1,39805.664,Decrease
2021-01-10,processed_ds1,37434.613,Decrease
2021-01-11,processed_ds1,36268.82,Decrease
2021-01-12,processed_ds1,36341.656,Increase
2021-01-13,processed_ds1,44188.168,Increase
2021-01-14,processed_ds1,43073.6,Decrease
2021-01-15,processed_ds1,36413.87,Decrease
2021-01-16,processed_ds1,37592.6,Increase
2021-01-17,processed_ds1,38474.51,Increase
2021-01-18,processed_ds1,40334.4,Increase
2021-01-19,processed_ds1,37770.215,Decrease
2021-01-20,processed_ds1,37820.133,Increase
2021-01-21,processed_ds1,33568.15,Decrease
2021-01-22,processed_ds1,41771.477,Increase
2021-01-23,processed_ds1,35941.977,Decrease
2021-01-24,processed_ds1,37595.38,Increase
2021-01-25,processed_ds1,37712.22,Increase
2021-01-26,processed_ds1,37822.324,Increase
2021-01-27,processed_ds1,34588.613,Decrease
2021-01-28,processed_ds1,43139.45,Increase
2021-01-29,processed_ds1,40498.363,Decrease
2021-01-30,processed_ds1,37991.566,Decrease
2021-01-31,processed_ds1,35911.082,Decrease
2021-02-01,processed_ds1,38613.664,Increase
2021-02-02,processed_ds1,42028.395,Increase
2021-02-03,processed_ds1,42941.59,Increase
2021-02-04,processed_ds1,38146.87,Decrease
2021-02-05,processed_ds1,41698.703,Increase
2021-02-06,processed_ds1,41838.223,Increase
2021-02-07,processed_ds1,39223.78,Decrease
2021-02-08,processed_ds1,48573.723,Increase
2021-02-09,processed_ds1,43593.074,Decrease
2021-02-10,processed_ds1,40485.094,Decrease
2021-02-11,processed_ds1,46584.414,Increase
2021-02-12,processed_ds1,43027.066,Decrease
2021-02-13,processed_ds1,43230.875,Increase
2021-02-14,processed_ds1,45645.414,Increase
2021-02-15,processed_ds1,43118.523,Decrease
2021-02-16,processed_ds1,45629.617,Increase
2021-02-17,processed_ds1,47367.4,Increase
2021-02-18,processed_ds1,44574.176,Decrease
2021-02-19,processed_ds1,48939.76,Increase
2021-02-20,processed_ds1,46650.97,Decrease
2021-02-21,processed_ds1,47938.305,Increase
2021-02-22,processed_ds1,43491.008,Decrease
2021-02-23,processed_ds1,39108.11,Decrease
2021-02-24,processed_ds1,45434.55,Increase
2021-02-25,processed_ds1,40666.375,Decrease
2021-02-26,processed_ds1,42791.363,Increase
2021-02-27,processed_ds1,43184.785,Increase
2021-02-28,processed_ds1,41468.35,Decrease
2021-03-01,processed_ds1,47667.293,Increase
2021-03-02,processed_ds1,42863.258,Decrease
2021-03-03,processed_ds1,46519.367,Increase
2021-03-04,processed_ds1,42144.23,Decrease
2021-03-05,processed_ds1,44608.855,Increase
2021-03-06,processed_ds1,44105.047,Decrease
2021-03-07,processed_ds1,46611.88,Increase
2021-03-08,processed_ds1,46353.75,Decrease
2021-03-09,processed_ds1,47790.656,Increase
2021-03-10,processed_ds1,47199.582,Decrease
2021-03-11,processed_ds1,48186.72,Increase
2021-03-12,processed_ds1,46593.285,Decrease
2021-03-13,processed_ds1,50023.89,Increase
2021-03-14,processed_ds1,46277.277,Decrease
2021-03-15,processed_ds1,44462.652,Decrease
2021-03-16,processed_ds1,47418.86,Increase
2021-03-17,processed_ds1,48445.58,Increase
2021-03-18,processed_ds1,46444.473,Decrease
2021-03-19,processed_ds1,47513.07,Increase
2021-03-20,processed_ds1,47323.145,Decrease
2021-03-21,processed_ds1,46565.34,Decrease
2021-03-22,processed_ds1,43662.414,Decrease
2021-03-23,processed_ds1,46405.58,Increase
2021-03-24,processed_ds1,44241.062,Decrease
2021-03-25,processed_ds1,44224.016,Decrease
2021-03-26,processed_ds1,48471.82,Increase
2021-03-27,processed_ds1,47062.07,Decrease
2021-03-28,processed_ds1,46436.18,Decrease
2021-03-29,processed_ds1,48151.19,Increase
2021-03-30,processed_ds1,48068.75,Decrease
2021-03-31,processed_ds1,47401.664,Decrease
2021-04-01,processed_ds1,47341.34,Decrease
2021-04-02,processed_ds1,47664.277,Increase
2021-04-03,processed_ds1,45688.18,Decrease
2021-04-04,processed_ds1,47864.793,Increase
2021-04-05,processed_ds1,47863.535,Decrease
2021-04-06,processed_ds1,46560.215,Decrease
2021-04-07,processed_ds1,45166.156,Decrease
2021-04-08,processed_ds1,48380.277,Increase
2021-04-09,processed_ds1,47232.38,Decrease
2021-04-10,processed_ds1,48694.652,Increase
2021-04-11,processed_ds1,47879.043,Decrease
2021-04-12,processed_ds1,47723.387,Decrease
2021-04-13,processed_ds1,50555.855,Increase
2021-04-14,processed_ds1,48411.28,Decrease
2021-04-15,processed_ds1,48814.617,Increase
2021-04-16,processed_ds1,47190.61,Decrease
2021-04-17,processed_ds1,47138.22,Decrease
2021-04-18,processed_ds1,44178.418,Decrease
2021-04-19,processed_ds1,46228.04,Increase
2021-04-20,processed_ds1,47199.574,Increase
2021-04-21,processed_ds1,43711.13,Decrease
2021-04-22,processed_ds1,43738.316,Increase
2021-04-23,processed_ds1,44634.023,Increase
2021-04-24,processed_ds1,43506.53,Decrease
2021-04-25,processed_ds1,43167.883,Decrease
2021-04-26,processed_ds1,48893.008,Increase
2021-04-27,processed_ds1,46931.367,Decrease
2021-04-28,processed_ds1,46213.336,Decrease
2021-04-29,processed_ds1,44809.86,Decrease
2021-04-30,processed_ds1,49301.258,Increase
2021-05-01,processed_ds1,47152.45,Decrease
2021-05-02,processed_ds1,45833.89,Decrease
2021-05-03,processed_ds1,47400.926,Increase
2021-05-04,processed_ds1,42990.6,Decrease
2021-05-05,processed_ds1,49078.414,Increase
2021-05-06,processed_ds1,46151.453,Decrease
2021-05-07,processed_ds1,47594.04,Increase
2021-05-08,processed_ds1,48292.93,Increase
2021-05-09,processed_ds1,46866.633,Decrease
2021-05-10,processed_ds1,45157.68,Decrease
2021-05-11,processed_ds1,47248.215,Increase
